stateProvince,county,POAR
Kansas,Barber,1
Kansas,Barber County,1
Kansas,Comanche,1
Kansas,Cowley,1
Kansas,Kingman,1
Kansas,Kiowa,1
Kansas,Sumner,1
Kansas,Sumner Co.,1
Oklahoma,,1
Oklahoma,Alfalfa,1
Oklahoma,Alfalfa Co.,1
Oklahoma,Beaver,1
Oklahoma,Blaine,1
Oklahoma,Blaine Co.,1
Oklahoma,Bryan,1
Oklahoma,Caddo,1
Oklahoma,Canadian,1
Oklahoma,Cleveland,1
Oklahoma,Comanche,1
Oklahoma,Creek Co.,1
Oklahoma,Dewey,1
Oklahoma,Ellis,1
Oklahoma,Garfield,1
Oklahoma,Garvin,1
Oklahoma,Greer,1
Oklahoma,Jackson,1
Oklahoma,Johnston,1
Oklahoma,Kay,1
Oklahoma,Kingfisher,1
Oklahoma,Kiowa,1
Oklahoma,Logan,1
Oklahoma,Major,1
Oklahoma,McClain,1
Oklahoma,Murray,1
Oklahoma,Murray Co.,1
Oklahoma,Murray County,1
Oklahoma,Payne,1
Oklahoma,Payne Co.,1
Oklahoma,Payne County,1
Oklahoma,Roger Mills,1
Oklahoma,Seminole,1
Oklahoma,Texas,1
Oklahoma,Woods,1
Oklahoma,Woods Co.,1
Oklahoma,Woods County,1
Oklahoma,Woodward,1
Oklahoma,Woodward Co.,1
Texas,,1
Texas,Archer,1
Texas,Archer Co.,1
Texas,Archer County,1
Texas,Austin,1
Texas,Bastrop Co.,1
Texas,Baylor,1
Texas,Bell,1
Texas,Bexar,1
Texas,Bexar Co.,1
Texas,Blanco,1
Texas,Bosque,1
Texas,Brazoria,1
Texas,Brazos,1
Texas,Brazos Co.,1
Texas,Brazos County,1
Texas,Brewster,1
Texas,BREWSTER,1
Texas,Brewster County,1
Texas,Briscoe,1
Texas,Brown,1
Texas,Brown County,1
Texas,Burleson,1
Texas,Burnet,1
Texas,Callahan,1
Texas,Childress,1
Texas,Collin,1
Texas,Concho,1
Texas,Cooke,1
Texas,Coryell,1
Texas,Cottle,1
Texas,Crosby,1
Texas,Dallas,1
Texas,Dallas Co.,1
Texas,Dallas County,1
Texas,Denton,1
Texas,Denton Co.,1
Texas,Dickens,1
Texas,Ellis,1
Texas,Ellis Co.,1
Texas,Erath,1
Texas,Fannin,1
Texas,Fayette,1
Texas,Galveston,1
Texas,Garza,1
Texas,Gillespie,1
Texas,Gonzales,1
Texas,Grayson,1
Texas,Hamilton,1
Texas,Hardeman,1
Texas,Hartley,1
Texas,Hemphill,1
Texas,Howard,1
Texas,Irion,1
Texas,Kimble,1
Texas,Lampasas,1
Texas,Lampasas Co.,1
Texas,Limestone,1
Texas,Llano,1
Texas,Lubbock,1
Texas,Mason,1
Texas,Mason Co.,1
Texas,McCulloch Co.,1
Texas,MCLENNAN,1
Texas,McLennan Co.,1
Texas,Mitchell,1
Texas,Oldham,1
Texas,Oldham Co.,1
Texas,Palo Pinto Co.,1
Texas,Parker,1
Texas,Robertson,1
Texas,San Saba,1
Texas,Scurry,1
Texas,Shackelford,1
Texas,Somervell,1
Texas,Stonewall,1
Texas,Tarrant,1
Texas,Tarrant Co.,1
Texas,Taylor,1
Texas,Throckmorton,1
Texas,Tom Green,1
Texas,Tom Green Co.,1
Texas,Travis,1
Texas,TRAVIS,1
Texas,Travis Co.,1
Texas,Washington Co.,1
Texas,Wichita,1
Texas,Wichita Co.,1
Texas,Wichita County,1
Texas,Wilbarger Co.,1
Texas,Wise,1
Texas,Wise Co.,1
Texas,Young,1
Texas,Young Co.,1
Texas,Young County,1
TEXAS,Brown,1
TEXAS,Coke,1
TEXAS,Lampasas,1
TEXAS,McCulloch,1
TEXAS,MITCHELL,1
TEXAS,Palo Pinto,1
